TIME,GEO,SEX,AGE,UNIT,Value,Flag and Footnotes
2007,Belgium,Total,Total,Number,10584534.00,
2007,Bulgaria,Total,Total,Number,7572673.00,
2007,Czechia,Total,Total,Number,10254233.00,
2007,Denmark,Total,Total,Number,5447084.00,
2007,Germany (until 1990 former territory of the FRG),Total,Total,Number,82314906.00,
2007,Estonia,Total,Total,Number,1342920.00,
2007,Ireland,Total,Total,Number,4340118.00,
2007,Greece,Total,Total,Number,11036008.00,
2007,Spain,Total,Total,Number,44784666.00,
2007,France,Total,Total,Number,63645065.00,
2007,Croatia,Total,Total,Number,4313530.00,
2007,Italy,Total,Total,Number,58223744.00,
2007,Latvia,Total,Total,Number,2208840.00,
2007,Lithuania,Total,Total,Number,3249983.00,
2007,Luxembourg,Total,Total,Number,476187.00,
2007,Hungary,Total,Total,Number,10066158.00,
2007,Netherlands,Total,Total,Number,16357992.00,
2007,Austria,Total,Total,Number,8282984.00,
2007,Poland,Total,Total,Number,38125479.00,
2007,Portugal,Total,Total,Number,10532588.00,
2007,Romania,Total,Total,Number,21130503.00,
2007,Slovenia,Total,Total,Number,2010377.00,
2007,Slovakia,Total,Total,Number,5373180.00,
2007,Finland,Total,Total,Number,5276955.00,
2007,Sweden,Total,Total,Number,9113257.00,
2007,United Kingdom,Total,Total,Number,61073279.00,
2007,Norway,Total,Total,Number,4681134.00,
2007,Switzerland,Total,Total,Number,7508739.00,
2008,Belgium,Total,Total,Number,10666866.00,
2008,Bulgaria,Total,Total,Number,7518002.00,
2008,Czechia,Total,Total,Number,10343422.00,
2008,Denmark,Total,Total,Number,5475791.00,
2008,Germany (until 1990 former territory of the FRG),Total,Total,Number,82217837.00,
2008,Estonia,Total,Total,Number,1338440.00,
2008,Ireland,Total,Total,Number,4457765.00,
2008,Greece,Total,Total,Number,11060937.00,
2008,Spain,Total,Total,Number,45668939.00,
2008,France,Total,Total,Number,64007193.00,
2008,Croatia,Total,Total,Number,4311967.00,
2008,Italy,Total,Total,Number,58652875.00,
2008,Latvia,Total,Total,Number,2191810.00,
2008,Lithuania,Total,Total,Number,3212605.00,
2008,Luxembourg,Total,Total,Number,483799.00,
2008,Hungary,Total,Total,Number,10045401.00,
2008,Netherlands,Total,Total,Number,16405399.00,
2008,Austria,Total,Total,Number,8307989.00,
2008,Poland,Total,Total,Number,38115641.00,
2008,Portugal,Total,Total,Number,10553339.00,
2008,Romania,Total,Total,Number,20635460.00,
2008,Slovenia,Total,Total,Number,2010269.00,b
2008,Slovakia,Total,Total,Number,5376064.00,
2008,Finland,Total,Total,Number,5300484.00,
2008,Sweden,Total,Total,Number,9182927.00,
2008,United Kingdom,Total,Total,Number,61571647.00,
2008,Norway,Total,Total,Number,4737171.00,
2008,Switzerland,Total,Total,Number,7593494.00,
2009,Belgium,Total,Total,Number,10753080.00,
2009,Bulgaria,Total,Total,Number,7467119.00,
2009,Czechia,Total,Total,Number,10425783.00,
2009,Denmark,Total,Total,Number,5511451.00,
